time;evt
6384;1
1782;1
4494;1
2058;1
1800;1
8016;1
1800;1
2610;1
6402;1
1812;1
1806;1
2082;1
3708;1
2082;1
1824;1
2904;1
107400;1
35400;1
104508;0
209490;1
63366;0
187566;1
1842;1
1842;1
1842;1
2118;1
1854;1
1854;1
83424;0
133728;1
139632;0
272160;0
170562;1
103278;0
220044;1
1878;1
2700;1
8400;1
1884;1
45444;0
195918;1
16026;1
63666;0
131256;1
2442;1
1914;1
19578;1
1920;1
1920;1
1926;1
86460;1
38166;0
13896;1
57666;1
22884;1
67734;1
1944;1
1956;1
1944;1
16368;1
21804;1
1956;1
28890;1
1968;1
1974;1
53532;0
273102;0
92694;1
182124;0
273144;0
273120;0
129774;1
2274;1
2010;1
1998;1
2016;1
2016;1
